Latitude,Longitude,@id,operator,telecom,level,operator:wikidata,ref,description,addr:housenumber,addr:city,addr:postcode,addr:street,name,website,contact:city,contact:housenumber,contact:postcode,contact:street,@relations,building,source,description:en,opening_hours,phone,office,data_center:power,alt_name,old_name,operator:wikipedia,wikidata,check_date,name:en
48.839717,2.628704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.838834,2.536726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.856711,2.49248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.870163,2.476773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.90222,2.193232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.902636,2.192867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.91602,2.415909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.916168,2.415533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.9071,2.368069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.6399277,3.1456348,node/11209760563,Ate,data_center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.7258632,2.0777812,node/9403059298,OpenStreetMap France,data_center,1,Q26996641,osm32;osm33;osm34;osm35;osm36;osm37,,,,,,,,,,,,,,,,,,,,,,,,,
48.8830181,2.1875495,node/9068705141,Orange,data_center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.8787916,2.1663589,node/9068704649,,data_center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.8773644,2.1749862,node/9068699148,IFP,data_center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.1359706,2.2571554,node/6205137527,,data_center,,,,"data center
en construction (été 2019)",,,,,,,,,,,,,,,,,,,,,,,,
45.7242762,4.8168005,node/6121968632,,data_center,,,,,25C,,,,,,,,,,,,,,,,,,,,,,,
48.1098669,-1.6372955,node/4975162489,Cogent,data_center,,,,data center,40,Rennes,35000,Rue Jean-Marie Huchet,,,,,,,,,,,,,,,,,,,,
48.8428819,2.4040974,node/6289753941,,data_center,,,,data center,5-9,Paris,75012,Rue Mousset-Robert,Acropolis Telecom Paris-Nation,,,,,,,,,,,,,,,,,,,
48.9280589,2.3410779,node/6289367991,,data_center,,,,data center,6,Saint-Denis,93200,Boulevard de la Libération,Ad Valem technologies TDF,,,,,,,,,,,,,,,,,,,
45.4586878,4.396381,node/6212785490,,data_center,,,,,1,Saint-Étienne,42000,Rue de la Presse,Adista Saint-Étienne,,,,,,,,,,,,,,,,,,,
49.085726,6.237733,,,,,,,,,,,,Advanced Mediomatrix,,,,,,,,,,,,,,,,,,,
43.564783,2.26799,,,,,,,,,,,,Albiant IT - Albiréo - Site Saphir,,,,,,,,,,,,,,,,,,,
43.554084,2.274942,,,,,,,,,,,,Albiant IT - Albiréo - Site Topaze,,,,,,,,,,,,,,,,,,,
48.6887201,2.2137794,node/6289873866,,data_center,,,,data center,14,Villebon Sur Yvette,91140,Avenue du Quebec,Alionis DC1,,,,,,,,,,,,,,,,,,,
48.9056227,2.2594863,node/6289527565,,data_center,,,,data center,37,Courbevoie,92400,Rue du Moulin des Bruyères,Alphalink Telco Center,,,,,,,,,,,,,,,,,,,
44.874343,-0.598251,,,,,,,,,,,,Aquitem group,,,,,,,,,,,,,,,,,,,
44.873944,-0.597918,,,,,,,,,,,,Aquitem group,,,,,,,,,,,,,,,,,,,
44.87415,-0.598041,,,,,,,,,,,,Aquitem group,,,,,,,,,,,,,,,,,,,
49.2233907,6.0111466,node/2161096396,,data_center,,,RG2,,117,Joeuf,54240,Franchepré,Association ReptiGo,,,,,,,,,,,,,,,,,,,
48.830119,2.729287,,,,,,,,,,,,BNP Paribas Centre de Traitement Informatique (CTI) Marne Nord,,,,,,,,,,,,,,,,,,,
48.817221,2.642469,,,,,,,,,,,,BNP Paribas Marne Sud,,,,,,,,,,,,,,,,,,,
47.296055,5.033948,,,,,,,,,,,,Bouygues Telecom,,,,,,,,,,,,,,,,,,,
48.79447,2.035858,node/6174610289,Bouygues Telecom,data_center,,Q581438,,data center,,Montigny le Bretonneux,78180,Rue Jean-Pierre Timbaud,Bouygues Telecom Montigny-le-Bretonneux,,,,,,,,,,,,,,,,,,,
48.100682,-1.403868,,,,,,,,,,,,BT Blue,,,,,,,,,,,,,,,,,,,
47.349146,0.769118,,,,,,,,,,,,Castle IT,,,,,,,,,,,,,,,,,,,
48.597018,2.409396,,,,,,,,,,,,CDG1,,,,,,,,,,,,,,,,,,,
47.31485,5.070899,,,,,,,,,,,,Centre de Calcul de l’Université de Bourgogne,,,,,,,,,,,,,,,,,,,
45.781374,4.865087,,,,,,,,,,,,Centre de Calculs et de Données LyonTech-la Doua,,,,,,,,,,,,,,,,,,,
45.762643,3.109453,,,,,,,,,,,,Centre Régional de Ressources Informatiques (CRRI),,,,,,,,,,,,,,,,,,,
43.636184,3.842297,,,,,,,,,,,,CINES,,,,,,,,,,,,,,,,,,,
50.378157,3.522103,,,,,,,,,,,,CIV Anzin,,,,,,,,,,,,,,,,,,,
50.584027,3.136554,,,,,,,,,,,,CIV Sainghin-en-Mélantois,,,,,,,,,,,,,,,,,,,
43.623378,7.038878,,,,,,,,,,,,CNAF Sophia-Antipolis,,,,,,,,,,,,,,,,,,,
48.649838,2.228315,,,,,,,,,,,,CNRS,,,,,,,,,,,,,,,,,,,
44.8629919,-0.5554506,node/6898386156,Cogent Communications,data_center,,,,,,,,,Cogent,,,,,,,,,,,,,,,,,,,
45.189635,5.7369136,node/7522025783,"Cogent Communications, Inc.",data_center,,,,,,,,,Cogent,,,,,,,,,,,,,,,,,,,
47.308729,5.030429,,,,,,,,,,,,Cogent Dijon,,,,,,,,,,,,,,,,,,,
50.637622,3.090312,,,,,,,,,,,,Cogent Lille,,,,,,,,,,,,,,,,,,,
43.600976,3.862628,,,,,,,,,,,,Cogent Montpellier,,,,,,,,,,,,,,,,,,,
47.2026402,-1.5504397,node/6175277339,,data_center,,,,data center,32,Nantes,44000,Boulevard Victor Hugo,Cogent Nantes,,,,,,,,,,,,,,,,,,,
48.907123,2.2416311,node/6175333480,,data_center,,,,data center,77,La Garenne Colombes,92250,Boulevard de la République,Cogent Paris 1,,,,,,,,,,,,,,,,,,,
48.7842025,2.2069451,node/6289632564,Cogentco,data_center,,,,data center,16,Vélizy-Villacoublay,78140,Rue Grange Dame Rose,Cogent Paris 2,https://www.cogentco.com/cogent-france,,,,,,,,,,,,,,,,,,
46.5884206,0.3400181,node/6175354710,,data_center,,,,,18,Poitiers,86000,Boulevard Jeanne d’Arc,Cogent Poitiers,,,,,,,,,,,,,,,,,,,
49.42914,1.076027,,,,,,,,,,,,Cogent Rouen,,,,,,,,,,,,,,,,,,,
